start_index,observed_variability,RMSE_Physics-Compact,RMSE_DLinear,RMSE_TimeMixer,RMSE_iTransformer,RMSE_PatchTST,mean_modern_RMSE,PhysicsCompact_skill_fraction,eligible,selected
145,1.1014947535888449,1.0584021603462574,1.0635261637646924,1.076871250392602,1.094891148473316,1.0882498454086493,1.0808846020098148,0.020800038803173965,0,0
146,1.0914937064670207,1.0578435573065723,1.062051633307776,1.076949741842201,1.094991091877345,1.0882654535592313,1.0805644801466383,0.021026901455230736,0,0
147,1.0868488764076298,1.0544768500765316,1.0564049556244715,1.0735327843380684,1.0929250792800382,1.0851136191917155,1.0769941096085733,0.020907504814697185,0,0
148,1.080770830462279,1.05269031525656,1.0523368414665986,1.0719743346325434,1.092387210805496,1.0836721124997477,1.0750926248510964,0.020837562342722844,0,0
149,1.079038133859893,1.0489529551366066,1.0455807422225416,1.068056601612927,1.0896071811272856,1.079943836478979,1.0707970903604331,0.020399882872742737,0,0
150,1.0766586568969916,1.0446651861969036,1.038234205430369,1.0641192170538827,1.0863975582322019,1.0757963867950333,1.0661368418778716,0.020139680796649188,0,0
151,1.0758332241189263,1.037965710200011,1.028594107654018,1.0574044522412576,1.0809469424439508,1.068948419889133,1.0589734805570898,0.019837862555375153,0,0
152,1.0749437764693963,1.0224218807451977,1.009131703759651,1.0428768268264308,1.067577525711498,1.0535240976374964,1.0432775384837691,0.019990517354453632,0,0
153,1.0735010006872319,1.0073351722134005,0.9892428634607996,1.0276889841164043,1.053733385172603,1.0378424448015438,1.0271269193878376,0.01926903754623906,0,0
154,1.073376020235945,0.9998183267548952,0.9792767058945514,1.020485521136775,1.0472767241318803,1.0310158940394385,1.0195137113006614,0.019318410657409822,0,0
155,1.0723960991977852,0.9885861498979837,0.9651140516224861,1.0090354136618886,1.0369766747184985,1.01940826313683,1.0076336007849258,0.018903151772732253,0,0
156,1.0719365415435034,0.9781757948520909,0.9523332559506404,0.9990002955430273,1.027725629088214,1.0094650381250867,0.997131054676742,0.019009797895419213,0,0
157,1.0716760559603948,0.9712026769125269,0.9440420811432388,0.9917535084181525,1.021688099155578,1.0021578108831783,0.989910374900037,0.018898375511418576,0,0
158,1.0715530771479482,0.9673826251071758,0.9390933759704632,0.987064503038034,1.0180280016480225,0.9981675636957348,0.9855883610880636,0.018471947011213852,0,0
159,1.0702620135412377,0.9626255845025483,0.9330359944018927,0.9815011823513494,1.0132499115211406,0.9931141064154049,0.9802252986724469,0.017954764270759475,0,0
160,1.069096659061236,0.9540343895619816,0.9231647707784839,0.9723020356068248,1.0043668353992994,0.9845114310236877,0.9710862682020739,0.01755959197287706,0,0
161,1.0672179662382704,0.9479666616709314,0.9159714326240197,0.9653864058325653,0.9970248076873092,0.9787073000741134,0.9642724865545019,0.016909976288791425,0,0
162,1.0665906754454886,0.9456559890210352,0.9139230446979204,0.9631252121654298,0.9948548850383976,0.977615436230604,0.9623796445330879,0.01737739945670443,0,0
163,1.0661281028251477,0.9445725120078797,0.9129928368962126,0.9623275198725648,0.9934985613841018,0.9767712263598339,0.9613975361281782,0.017500590014051503,0,0
164,1.0663594711978304,0.9437497637570667,0.9118044236546495,0.9614849066183971,0.991570510558058,0.9759366479575193,0.960199122197156,0.017131195040513487,0,0
165,1.067080142629869,0.9444239175509515,0.912114635064372,0.9621588838584926,0.9919726682505935,0.9765963820631868,0.9607106423091611,0.016952788947005908,0,0
166,1.066848728182753,0.9452095822825262,0.9126075203556909,0.9628721093530145,0.9920199359318389,0.97720431893566,0.9611759711440512,0.016611306712672844,0,0
167,1.0669844816048442,0.9450009477559512,0.9124138194287563,0.9627183267111524,0.9914676255691495,0.9772966811122775,0.960974113205334,0.01662184779994145,0,0
168,1.0676401052852902,0.9452308776255174,0.9125270957531197,0.9633174990868142,0.9902815167120309,0.9770146442929077,0.9607851889612182,0.016189166438460457,0,0
169,1.0690951679811174,0.9472498595684197,0.9144974363407636,0.9657617327203415,0.9906222604580582,0.9781984900571993,0.9622699798940907,0.015609050099769463,0,0
170,1.071503503187958,0.9498890189762662,0.9168203552227032,0.9689824233699414,0.9931254246194103,0.981211868350241,0.965035017890574,0.01569476613130033,0,0
